id,questionnaire_id,priority,title,qtype,random_order,ord,branch_rules,random_answer,intro_text
QDEM1_1,QDEM1,1,Hány éves vagy?,numeric,FALSE,1,{},FALSE,"A v�laszaid anonimak, a demogr�fiai adatok kiz�r�lag statisztikai bont�sban jelennek meg.
Ez a k�rd�s lehet�v� teszi, hogy a t�bbi mutat�t �letkori csoportok szerint is vizualiz�ljuk. �gy pontosabban l�that�, mely gener�ci�k milyen ig�nyeket fogalmaznak meg."
QDEM1_2,QDEM1,2,Mi a nemed?,single_choice,FALSE,2,"{""options"": [""nĹ‘"", ""fĂ©rfi"", ""egyĂ©b""], ""logic"": []}",FALSE,
QDEM1_3,QDEM1,3,Hol laksz?,open_text,FALSE,3,{},FALSE,
QDEM1_4,QDEM1,4,"Elég az is, ha meg tudod mondani, hogy milyen típusú településen élsz!",single_choice,FALSE,4,"{""options"": [""fĹ‘vĂˇros"", ""szĂ©khely"", ""vĂˇros"", ""kĂ¶zsĂ©g""], ""logic"": []}",FALSE,
QDEM1_5,QDEM1,5,Megye,single_choice,FALSE,5,recode,FALSE,
Q1_1,Q1,6,"Úgy érzem, hogy a körülöttem élő emberek számíthatnak rám.",likert_1_4,FALSE,1,"{
  ""options"": [""egyáltalán nem igaz"", ""inkább nem igaz"", ""többnyire igaz"", ""teljesen igaz""],
  ""logic"": []
}",FALSE,
Q1_2,Q1,7,"Úgy érzem, én is számíthatok a körülöttem élő emberekre.",likert_1_4,FALSE,2,"{
  ""options"": [""egyáltalán nem igaz"", ""inkább nem igaz"", ""többnyire igaz"", ""teljesen igaz""],
  ""logic"": []
}",FALSE,
Q1_3,Q1,8,"Része vagyok egy olyan csoportnak, amely fontos számomra.",likert_1_4,FALSE,3,"{
  ""options"": [""egyáltalán nem igaz"", ""inkább nem igaz"", ""többnyire igaz"", ""teljesen igaz""],
  ""logic"": []
}",FALSE,
Q1_4,Q1,9,"Könnyen találok közösségi programokat vagy eseményeket, amelyek érdekelnek.",likert_1_4,FALSE,4,"{
  ""options"": [""egyáltalán nem igaz"", ""inkább nem igaz"", ""többnyire igaz"", ""teljesen igaz""],
  ""logic"": []
}",FALSE,
Q1_5,Q1,10,Az emberek a közösségemben tiszteletben tartják a véleményemet.,likert_1_4,FALSE,5,"{
  ""options"": [""egyáltalán nem igaz"", ""inkább nem igaz"", ""többnyire igaz"", ""teljesen igaz""],
  ""logic"": []
}",FALSE,
Q1_6,Q1,11,"Úgy érzem, van közös történetünk vagy értékeink a közösségemmel.",likert_1_4,FALSE,6,"{
  ""options"": [""egyáltalán nem igaz"", ""inkább nem igaz"", ""többnyire igaz"", ""teljesen igaz""],
  ""logic"": []
}",FALSE,
NEED_1,NEED,12,"Mennyire érzed, hogy a környezetedben hiányoznak közösségi lehetőségek?",likert_1_4,FALSE,1,"{
  ""options"": [""egyáltalán nem érezni"", ""inkább nem érezni"",  ""erősen érezni"", ""nagyon erősen érezni""],
  ""logic"": []
}",FALSE,
NEED_3,NEED,13,"Mennyire érzed, hogy vannak fel nem ismert közösségi problémák a környékeden?",likert_1_4,FALSE,3,"{
  ""options"": [""egyáltalán nem érezni"", ""inkább nem érezni"", ""erősen érezni"", ""nagyon erősen érezni""],
  ""logic"": []
}",FALSE,
NEED_4,NEED,14,Mennyire sürgősnek érzed a saját igényed kielégítését?,likert_1_4,FALSE,4,"{
  ""options"": [""egyáltalán nem sürgős"", ""inkább nem sürgős"", ""elég sürgős"", ""nagyon sürgős""],
  ""logic"": []
}",FALSE,
NEED_6,NEED,15,Milyen területen érzel hiányt vagy szükséget?,multiple_choice,FALSE,6,"{""options"": [""KĂ¶rnyezet & fenntarthatĂłsĂˇg"", ""KultĂşra & mĹ±vĂ©szet"", ""OktatĂˇs & tanulĂˇs"", ""EgĂ©szsĂ©g & sport"", ""KĂ¶zĂ¶ssĂ©gi Ă©let & esemĂ©nyek"", ""SzociĂˇlis & segĂ­tsĂ©gnyĂşjtĂˇs"", ""egyĂ©b""], ""logic"": []}",TRUE,
